Date,Description,Amount,Balance,Reference
2026-09-17,FIGMA SUBSCRIPTION,-570.00,325633.56,CARD3015
2026-09-17,ATM WITHDRAWAL LAGOS,-1080.00,324553.56,POS2
2026-09-18,PRESTIGE WW PAYMENT,-1516.00,323037.56,ACH1016
2026-09-18,SALESFORCE PAYMENT,-3167.00,319870.56,ACH1042
2026-09-18,DISCOUNT 1 PAYMENT,-6958.00,312912.56,ACH4200
2026-09-18,DODO PAYOUT,9700.00,322612.56,po_001
2026-09-19,WERNHAM HOGG PAYMENT,-1579.50,321033.06,ACH1017
2026-09-19,HUBSPOT PAYMENT,-3230.50,317802.56,ACH1043
2026-09-19,DISCOUNT 2 PAYMENT,-7114.80,310687.76,ACH4201
2026-09-20,MASSIVE DYN PAYMENT,-1643.00,309044.76,ACH1018
2026-09-20,ZENDESK PAYMENT,-3294.00,305750.76,ACH1044
2026-09-20,DISCOUNT 3 PAYMENT,-7271.60,298479.16,ACH4202
2026-09-20,LEGAL EAGLE LLP PAYMENT,-8100.00,290379.16,ACH4300
2026-09-21,VEHEMENT CAP PAYMENT,-1706.50,288672.66,ACH1019
2026-09-21,AIRTABLE PAYMENT,-3357.50,285315.16,ACH1045
2026-09-21,ADWORKS MEDIA PAYMENT,-8200.00,277115.16,ACH4301
2026-09-22,PIED PIPER PAYMENT,-1770.00,275345.16,ACH1020
2026-09-22,DROPBOX PAYMENT,-3421.00,271924.16,ACH1046
2026-09-22,DATADOG SUBSCRIPTION,-1800.00,270124.16,ACH4400
2026-09-23,ARAMARK PAYMENT,-1833.50,268290.66,ACH1021
2026-09-23,ASANA PAYMENT,-3484.50,264806.16,ACH1047
2026-09-23,AMZN AWS EC2 USAGE,-1800.00,263006.16,ACH4401
2026-09-24,STAPLES PAYMENT,-1897.00,261109.16,ACH1022
2026-09-24,MIRO PAYMENT,-3548.00,257561.16,ACH1048
2026-09-25,CINTAS PAYMENT,-1960.50,255600.66,ACH1023
2026-09-25,LOOM PAYMENT,-3611.50,251989.16,ACH1049
2026-09-25,DODO PAYOUT,4850.00,256839.16,po_002
2026-09-26,GRAINGER PAYMENT,-2024.00,254815.16,ACH1024
2026-09-26,LINEAR PAYMENT,-3675.00,251140.16,ACH1050
2026-09-27,FEDEX PAYMENT,-2087.50,249052.66,ACH1025
2026-09-27,SENTRY PAYMENT,-3738.50,245314.16,ACH1051
2026-09-28,INTEREST PAID,180.00,245494.16,INT0
2026-09-28,INTEREST PAID,200.00,245694.16,INT1
